@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "SIS18"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7239467
@ ALFA             %le        0.0348900783
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.353638321
@ Q1               %le         4.155745949
@ Q2               %le         3.326765975
@ DQ1              %le        -6.204147258
@ DQ2              %le        -4.159503301
@ DXMAX            %le         3.384745016
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.10844082
@ BETYMAX          %le         23.29409786
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.050957256
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         7.778766405
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le       0.01994300298
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "28/02/12"
@ TIME             %08s "15.31.43"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "DR6"               "DRIFT"                    203.9129589             0.4998       -5.388605724       -4.439623503
 "S11DX5H"           "HMONITOR"                 203.9129589                  0       -5.388605724       -4.439623503
 "S11DX5V"           "VMONITOR"                 203.9129589                  0       -5.388605724       -4.439623503
 "DR1"               "DRIFT"                    204.5579589              0.645       -5.409186966       -4.439437271
 "RB1"               "SBEND"                    205.8669559        1.308996939       -5.497142434       -4.439852204
 "S12MU1A"           "HKICKER"                  205.8669559                  0       -5.497142434       -4.439852204
 "RB2"               "SBEND"                    207.1759528        1.308996939       -5.651460164       -4.444713213
 "DR2"               "DRIFT"                    208.1459528               0.97       -5.780832861       -4.453493998
 "RB1"               "SBEND"                    209.4549497        1.308996939       -5.903959003       -4.471733108
 "S12MU2A"           "HKICKER"                  209.4549497                  0       -5.903959003       -4.471733108
 "RB2"               "SBEND"                    210.7639467        1.308996939       -5.962492006       -4.501994658
 "DR3E"              "DRIFT"                    211.7639467                  1       -5.979046921       -4.538483862
 "S12MB2"            "HKICKER"                  211.7639467                  0       -5.979046921       -4.538483862
 "DR3F"              "DRIFT"                    216.2239467               4.46       -5.938908298        -4.78239138
 "SEPTUM"            "MARKER"                   216.2239467                  0       -5.938908298        -4.78239138
 "DR3G"              "DRIFT"                    216.7239467                0.5       -5.932215351       -4.803164992
 "SEPTUM"            "MARKER"                   216.7239467                  0       -5.932215351       -4.803164992
 "SIS18$END"         "MARKER"                   216.7239467                  0       -5.932215351       -4.803164992
